,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",5512532,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Lucid Dreams","Juice WRLD",4162250,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
3,"All I Want for Christmas Is You","Mariah Carey",3948538,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,ROXANNE,"Arizona Zervas",3874998,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,Señorita,"Shawn Mendes",3282933,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
6,Memories,"Maroon 5",3253392,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,Circles,"Post Malone",3251778,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"Last Christmas",Wham!,3225524,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
9,"Someone You Loved","Lewis Capaldi",2900543,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,"everything i wanted","Billie Eilish",2759316,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2734834,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
12,"Don't Start Now","Dua Lipa",2716131,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,Falling,"Trevor Daniel",2652167,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,Tusa,"KAROL G",2620307,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
15,"bad guy","Billie Eilish",2573466,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
16,"RITMO (Bad Boys For Life)","The Black Eyed Peas",2552631,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,"Santa Tell Me","Ariana Grande",2478646,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
18,"Blinding Lights","The Weeknd",2379014,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
19,Heartless,"The Weeknd",2334880,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
20,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2305862,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
21,Robbery,"Juice WRLD",2248443,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
22,"Adore You","Harry Styles",2242606,https://open.spotify.com/track/1M4qEo4HE3PRaCOM7EXNJq
23,"Rockin' Around The Christmas Tree","Brenda Lee",2126119,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
24,"Jingle Bell Rock","Bobby Helms",2069186,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
25,"hot girl bummer",blackbear,2037895,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
26,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2034717,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
27,"HIGHEST IN THE ROOM","Travis Scott",2032168,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
28,"Lose You To Love Me","Selena Gomez",2015820,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
